Month,Revenue,COGS,Opex,EBITDA,EBITDA_Margin,CashFlowProxy,Opex_Payroll,Opex_Marketing,Opex_Cloud/IT,Opex_G&A
2024-01-01,10149014.245903369,5312361.277029584,2865766.6201363774,1970886.3487374075,0.1941948548877988,1489811.1782531631,1297877.8055857325,559526.2471594779,520186.380046006,475115.3456341051
2024-02-01,10331153.904276907,5194453.874083213,2914299.1107528405,2222400.9194408543,0.21511642746129464,1786614.5483691604,1262423.4517358642,580853.5642945406,514774.28358836257,490654.11501803977
2024-03-01,10910293.851984134,5717996.67288967,3055328.593072107,2136968.5860223565,0.19586718882312504,1456498.9360621443,1382041.049448574,620323.1310500614,546525.3846961753,525840.2313463168
2024-04-01,11441055.963499669,5919897.225169536,3182024.2736098114,2339134.464720322,0.20445092412648344,1616007.486468634,1448463.128071517,652933.978979081,564293.1681683837,531795.8219393423
2024-05-01,10983384.868863875,5655706.306434644,2950983.270545332,2376695.2918838984,0.21639005827988841,1884852.8993829822,1292731.116890415,568944.3264075629,521785.2787930064,489292.72696941625
2024-06-01,10973701.667163776,5796796.6994508365,3035708.1765681384,2141196.7911448013,0.19512074011924616,1625101.9198244235,1372368.651030008,601048.9464933405,560354.8495591481,519843.1826448841
2024-07-01,11439111.686979542,6095481.5067049535,3171588.475303881,2172041.704970707,0.18987852941789288,1628740.2775406935,1429707.1042446515,625279.70860911,577000.3790389742,543132.3998858518
2024-08-01,10947653.932636824,5827343.402546271,2995078.6699266373,2125231.8601639154,0.19412669355835563,1615777.1145636195,1301571.0410151922,587275.0992918012,527907.4393424502,501419.86696129176
2024-09-01,10287191.452054441,5298027.867974967,2867140.1906201313,2122023.393459343,0.20627820560640547,1537708.3758265413,1304061.7438064902,603798.8669660902,530013.3406866139,480526.1148328869
2024-10-01,10337950.898694975,5383360.396111181,2928042.714981188,2026547.7876026062,0.19602992966995328,1533660.5158407658,1339786.2358774752,592723.3654871167,531906.5337630818,501232.46740262053
2024-11-01,9829300.435617466,5185623.914791403,2900523.225176284,1743153.295649778,0.17734255932734394,1280495.247763527,1347644.557675288,558161.3058724514,534825.8979863465,471667.91673088016
2024-12-01,9726288.589891132,5198081.709425037,2736944.758681473,1791262.1217846223,0.18416707516229192,1235467.8118268417,1270561.8144472265,562461.7764074029,501955.6571002797,445634.6409142492
2025-01-01,9960802.19432835,5182751.213832341,2809547.8823884293,1968503.0981075787,0.19762495627394733,1656309.096838487,1212043.0683272274,597683.3731741717,493141.4724717051,467328.7724598197
2025-02-01,9473533.91708662,4961055.954131798,2646947.3695202586,1865530.5934345634,0.1969202421991504,1436742.620053133,1157614.2737307232,545786.7611372732,468443.5699673023,447099.63759699214
2025-03-01,9799666.163399333,5045790.260775745,2593479.9869208485,2160395.9157027397,0.22045607265394193,1553668.8418140123,1185098.3984982474,495053.26378758764,477292.08909565466,445003.8937772639
2025-04-01,10526979.721425608,5415298.513981561,2945321.433765648,2166359.7736783987,0.20579119852099623,1709126.0528482895,1345823.7196379986,580506.9367904939,539865.6358545144,522866.1750100868
2025-05-01,10783838.981763726,5768639.62931841,3024671.0179805784,1990528.3344647381,0.18458438945823186,1346228.283474472,1382132.9305215066,627926.1402079231,544099.392830842,527424.1779052139
2025-06-01,11630416.193791606,6289687.706338435,3485704.781895877,1855023.7055572933,0.15949762026121794,1365044.1110802153,1749865.1936876804,682340.5953373209,629635.2912949102,589726.5705789143
2025-07-01,11531244.669123426,6076267.99189108,3211003.2165571214,2243973.460675225,0.19459941446596726,1801011.7181600449,1469698.7195435637,650751.2769795128,600134.5438665991,545559.1351805252
2025-08-01,11563952.446825052,6222799.125189794,3265803.318128714,2075350.0035065436,0.17946718589943203,1402249.0681315977,1519676.7026392603,668339.4783978929,577412.0359184901,538488.8390815477
2025-09-01,12694710.885813104,6755198.401106776,3550993.8009817256,2388518.6837246027,0.18815069560929323,1876080.9537844514,1643680.5441436914,690449.614045256,649669.6769856786,603333.6720080503
2025-10-01,12021148.22806066,6280869.3033608,3253530.688488158,2486748.2362117027,0.20686445163424153,1935311.831892869,1492699.6490752087,649544.1322614901,582083.1879295938,548310.502367845
2025-11-01,11947179.31313731,6367555.757846618,3454438.2803836884,2125185.274907003,0.1778817593011361,1626039.310626543,1539794.6711839307,623707.1082177856,617738.2725497842,592940.0455432003
2025-12-01,11159589.756979804,6083846.76152988,3191815.245310394,1883927.7501395307,0.16881693603129286,1537622.5776939022,1469020.469027016,618745.1125177687,593465.044775652,529142.7131839507
2026-01-01,11174398.33567097,5920805.305148356,3199545.982567875,2054047.0479547395,0.18381723885730833,1467906.485620632,1406414.3797151325,635060.5760288875,590179.4477043101,552397.3496078638
2026-02-01,11124237.608456694,6077001.187677328,3033856.5933655836,2013379.8274137825,0.18099036520787748,1373320.545126953,1355536.0721794001,584057.7472709483,559421.7732997187,539471.1821634657
2026-03-01,10518823.450210942,5310600.303980045,3063316.5316086416,2144906.6146222553,0.2039112667661745,1525398.9896952487,1358420.33979517,642666.86152404,572992.0876723066,519064.6598936538
2026-04-01,10947792.802167984,5908615.591686239,2942604.584807445,2096572.6256743004,0.1915064217564583,1459869.7659091088,1327424.5266054776,563270.8735072302,530002.5776690505,506271.3810688838
2026-05-01,10706853.16258289,5704454.662726939,3048186.027369126,1954212.4724868243,0.18251977895019492,1410614.6475448704,1466933.0959804766,601589.1807392018,559898.5703259333,528920.429742025
2026-06-01,11030924.114258198,5839223.563068528,3281960.7502639745,1909739.8009256958,0.17312600296626382,1395825.8106691032,1394150.4081411154,658966.6627115137,585254.2051343578,551217.699356124
2026-07-01,11270711.201894531,6014993.336703742,3066486.745686198,2189231.119504591,0.19424072538888193,1656880.5803245641,1408328.540560109,639815.2217642363,557335.4940693531,524807.3475555796
2026-08-01,12570948.031020004,6452866.248012926,3462914.254054233,2655167.528952845,0.21121458162112894,2130604.903759466,1482918.007820296,662749.2457497892,620890.9248443675,588917.8158504359
2026-09-01,12360695.99538415,6568724.803719519,3470848.960542549,2321122.2311220816,0.18778248668107828,1704694.5556815509,1539768.975195548,718392.7863091567,626570.7679567265,591773.3201163355
2026-10-01,12380688.228521008,6656027.3459309,3416725.7031517755,2307935.179438332,0.18641412632632273,1868858.290400439,1587755.2805889307,683554.9220060003,625991.4634209165,567373.4413096394
2026-11-01,13438944.005127024,7381300.021400064,3596190.0892683994,2461453.8944585603,0.18315828189473096,1753939.6105776175,1621406.2429335024,698059.8677531009,631424.8396641673,611801.8457289848
2026-12-01,12822913.70542981,6792437.349798879,3597449.254394949,2433027.1012359816,0.1897405813630116,2140686.360837987,1566510.8804825644,729464.21367264,688188.0538331195,620703.143512949
